Date,Commodity,Provider,Product,Source Price,Currency,Unit,INR per MT,Source,Data Class
2025-09-09,AL,BALCO,AL_INGOT,250550.0,INR,MT,250550.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-09,AL,HINDALCO,AL_INGOT,255150.0,INR,MT,255150.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-09,AL,NALCO,AL_INGOT,251800.0,INR,MT,251800.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-09,CU,BME,CU_CATHODE,889100.0,INR,MT,889100.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-10,AL,BALCO,AL_INGOT,250550.0,INR,MT,250550.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-10,AL,HINDALCO,AL_INGOT,255150.0,INR,MT,255150.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-10,AL,NALCO,AL_INGOT,251800.0,INR,MT,251800.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-10,CU,BME,CU_CATHODE,884100.0,INR,MT,884100.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-11,AL,BALCO,AL_INGOT,250550.0,INR,MT,250550.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-11,AL,HINDALCO,AL_INGOT,256350.0,INR,MT,256350.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-11,AL,NALCO,AL_INGOT,250250.0,INR,MT,250250.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-11,CU,BME,CU_CATHODE,885450.0,INR,MT,885450.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-12,AL,BALCO,AL_INGOT,250550.0,INR,MT,250550.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-12,AL,HINDALCO,AL_INGOT,256350.0,INR,MT,256350.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-12,AL,NALCO,AL_INGOT,250250.0,INR,MT,250250.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-12,CU,BME,CU_CATHODE,893950.0,INR,MT,893950.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-15,AL,BALCO,AL_INGOT,250550.0,INR,MT,250550.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-15,AL,HINDALCO,AL_INGOT,256350.0,INR,MT,256350.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-15,AL,NALCO,AL_INGOT,250250.0,INR,MT,250250.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-15,CU,BME,CU_CATHODE,893950.0,INR,MT,893950.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-16,AL,BALCO,AL_INGOT,250550.0,INR,MT,250550.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-16,AL,HINDALCO,AL_INGOT,256350.0,INR,MT,256350.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-16,AL,NALCO,AL_INGOT,250250.0,INR,MT,250250.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-16,CU,BME,CU_CATHODE,861850.0,INR,MT,861850.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-17,AL,BALCO,AL_INGOT,250850.0,INR,MT,250850.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-17,AL,HINDALCO,AL_INGOT,253000.0,INR,MT,253000.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-17,AL,NALCO,AL_INGOT,250250.0,INR,MT,250250.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-17,CU,BME,CU_CATHODE,860650.0,INR,MT,860650.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-18,AL,BALCO,AL_INGOT,250850.0,INR,MT,250850.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-18,AL,HINDALCO,AL_INGOT,253000.0,INR,MT,253000.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-18,AL,NALCO,AL_INGOT,250250.0,INR,MT,250250.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-18,CU,BME,CU_CATHODE,860650.0,INR,MT,860650.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-19,AL,BALCO,AL_INGOT,250850.0,INR,MT,250850.0,DEMO simulator (seed 20260909),DEMO_DATA
2025-09-19,AL,HINDALCO,AL_INGOT,253000.0,INR,MT,253000.0,DEMO simulator (seed 20260909),DEMO_DATA
